source_file,company_name,sector,primary_subsector,additional_subsectors,level_3_category,confidence_explanation
vutya_business_solutions_2560972_0_Client_Analysis_Model_v24.3_-_VUTYA_BIZ_V1.xlsm,VUTYA BUSINESS SOLUTIONS,Retail / Trade,FMCG,,General merchandise,"The business is classified under Retail/Trade due to the presence of shop sales as a revenue stream and the absence of specified products/inventory. The Cost of Sales categories indicate a retail/trade business, supporting the classification as a general merchandise retailer."
wabea_david_2560809_0_DAVID_FINANCIALS_FINAL.xlsm,DAVID WABEA,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & beverages),"The presence of physical products such as sugar, cooking oil, and beverages indicates a retail/trade business. The Cost of Sales categories confirm this classification as they relate to purchases of goods sold, aligning with the characteristics of a retail operation."
walstreet_shoppers__lira_25601128_0_WALSTREET_FINANCIALS.xlsm,WALSTREET SHOOPERS LIRA,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & household supplies),"The presence of a diverse range of physical products such as milk, eggs, bread, and household items indicates a retail/trade business. The Cost of Sales categories confirm that these items are sold as goods, reinforcing the classification as a retail business focused on fast-moving consumer goods."
wamini_augustine_2560819_0_M._Augustine_Financials.xlsm,WAMINI AUGUSTINE,Retail / Trade (FMCG),General merchandise,,Mixed retail (food & beverages),"The presence of inventory/products such as soda, sugar, wheat, and cooking oil indicates a retail/trade business focused on fast-moving consumer goods (FMCG). The Cost of Sales categories confirm that the business sells physical products, aligning with the FMCG classification."
wazz_contractors__u__ltd_2560675_0_Client_Analysis_Model_v19_-_Wazz_Contractors.xlsm,Wazz Contractors Limited,Retail / Trade (FMCG),General merchandise,Retail / Trade (electronics),Mixed retail (food & electronics),"The presence of inventory/products related to both milk products and electronics, along with the Cost of Sales categories indicating 'Cost of goods sold', strongly supports the classification as a retail/trade business. The combination of these product types leads to the designation of a mixed retail category."
wilobo_general_stores_25601068_0_Wilobo_Financials.xlsm,WILOBO GENERAL STORES,Retail / Trade (produce),Cereals/Grains,,General retail of cereals and grains,"The business sells physical products such as maize, rice, and other grains, which aligns with the Cost of Sales categories indicating a retail/trade business. The presence of inventory related to cereals and grains further supports the classification under the produce sector."
yahweh_hardware___plumbing__lira_2560836_0_FINANCIALS_YAWEH.xlsm,Yaweh hardware & Plumbing,Retail / Trade (hardware),Construction materials,,Retail hardware and plumbing supplies,"The business sells physical products related to hardware and plumbing, as indicated by the inventory of PVC pipes, traps, and mixers. The presence of these items in the Cost of Sales categories confirms its classification as a retail/trade business."
yubu_general_hardware_gulu_25601001_0_YUSUF_FINANCIALS-REVIEWED.xlsm,YUSUF HARDWARE -GULU,Retail / Trade (hardware),Construction materials,,Retail hardware supplier,"The business sells physical products related to hardware, as indicated by the inventory of PVC pipes and other construction materials. The presence of 'Cost of goods sold' categories confirms its classification as a retail/trade business."
zamzam_junior_school_and_quran_memorization_centre_budaka_limited_2560872_0_Zamzam_school_Financials.xlsm,ZAMZAM JUNIOR SCHOOL,Education,Early childhood education,,Primary School,"The business is classified under the Education sector and specifically in Early childhood education due to its focus on school fees and educational services. The presence of operating costs related to salaries, rent, and administrative expenses indicates a service-oriented business rather than a retail/trade business, which aligns with the classification as a Primary School."
zanto_drug_shop_25601012_0_Zanto_Financials-Revised.xlsm,Zanto Drug shop,Healthcare (pharmacy),Retail pharmacy,,Pharmaceutical retail store,The presence of inventory/products and the classification under 'Cost of goods sold' categories strongly indicate that Zanto Drug shop operates as a retail/trade business selling physical pharmaceutical products.
zoom_hardware___consult_ltd_25601061_0_Financials_for_Zoom_Hardware.xlsm,ZOOM HARDWARE AND CONSULT LIMITED,Retail / Trade (hardware),Construction materials,,Hardware retail specializing in construction materials,"The business primarily sells hardware products such as cement, iron bars, and plumbing pipes, which are categorized under 'Cost of goods sold'. This strongly indicates a retail/trade classification focused on construction materials."
